t # guarino2016value
v 1 quality
v 2 quality
v 3 relator
v 4 quality
v 5 quality
v 6 relator
v 7 relator
v 8 roleMixin
v 9 category
v 10 relator
v 11 mixin
v 12 quality
v 13 quality
v 14 role
v 15 role
v 16 category
v 17 category
v 18 quality
v 19 Generalization
v 20 Generalization
v 21 characterization
v 22 mediation
v 23 mediation
v 24 relation
v 25 relation
v 26 characterization
v 27 characterization
v 28 mediation
v 29 mediation
v 30 mediation
v 31 characterization
v 32 characterization
v 33 relation
v 34 relation
v 35 relation
v 36 characterization
v 37 mediation
v 38 mediation
v 39 relation
v 40 relation
v 41 relation
v 42 relation
v 43 relation
v 44 relation
v 45 characterization
v 46 formal
v 47 formal
v 48 formal
v 49 formal
v 50 formal
v 51 characterization
v 52 mediation
v 53 formal
v 54 formal
v 55 formal
v 56 formal
v 57 relation
e 70 33 source
e 70 31 target
e 71 33 source
e 71 30 target
e 72 30 source
e 72 29 target
e 73 33 source
e 73 32 target
e 74 35 source
e 74 30 target
e 75 25 source
e 75 30 target
e 76 33 source
e 76 26 target
t # kritz2020ontobg
v 1 kind
v 2 kind
v 3 kind
v 4 kind
v 5 kind
v 6 kind
v 7 kind
v 8 kind
v 9 kind
v 10 kind
v 11 kind
v 12 kind
v 13 kind
v 14 kind
v 15 kind
v 16 kind
v 17 kind
v 18 kind
v 19 kind
v 20 kind
v 21 kind
v 22 kind
v 23 kind
v 24 kind
v 25 kind
v 26 kind
v 27 kind
v 28 kind
v 29 kind
v 30 kind
v 31 kind
v 32 kind
v 33 kind
v 34 kind
v 35 kind
v 36 kind
v 37 kind
v 38 kind
v 39 kind
v 40 kind
v 41 kind
v 42 kind
v 43 kind
v 44 kind
v 45 kind
v 46 kind
v 47 kind
v 48 kind
v 49 kind
v 50 kind
v 51 kind
v 52 kind
v 53 kind
v 54 kind
v 55 kind
v 56 kind
v 57 kind
v 58 kind
v 59 kind
v 60 kind
v 61 kind
v 62 kind
v 63 kind
v 64 kind
v 65 kind
v 66 kind
v 67 kind
v 68 kind
v 69 kind
v 70 kind
v 71 kind
v 72 kind
v 73 kind
v 74 kind
v 75 kind
v 76 kind
v 77 kind
v 78 category
v 79 category
v 80 kind
v 81 kind
v 82 kind
v 83 kind
v 84 kind
v 85 kind
v 86 kind
v 87 kind
v 88 kind
v 89 kind
v 90 kind
v 91 kind
v 92 category
v 93 kind
v 94 kind
v 95 kind
v 96 kind
v 97 kind
v 98 category
v 99 category
v 100 kind
v 101 category
v 102 kind
v 103 kind
v 104 kind
v 105 kind
v 106 kind
v 107 kind
v 108 kind
v 109 kind
v 110 kind
v 111 kind
v 112 kind
v 113 kind
v 114 kind
v 115 kind
v 116 kind
v 117 subkind
v 118 subkind
v 119 subkind
v 120 subkind
v 121 subkind
v 122 subkind
v 123 subkind
v 124 kind
v 125 subkind
v 126 subkind
v 127 subkind
v 128 subkind
v 129 subkind
v 130 subkind
v 131 subkind
v 132 subkind
v 133 kind
v 134 subkind
v 135 subkind
v 136 subkind
v 137 subkind
v 138 subkind
v 139 subkind
v 140 subkind
v 141 kind
v 142 subkind
v 143 subkind
v 144 subkind
v 145 subkind
v 146 subkind
v 147 subkind
v 148 kind
v 149 kind
v 150 kind
v 151 kind
v 152 kind
v 153 kind
v 154 kind
v 155 kind
v 156 kind
v 157 kind
v 158 kind
v 159 subkind
v 160 subkind
v 161 subkind
v 162 subkind
v 163 subkind
v 164 subkind
v 165 subkind
v 166 kind
v 167 subkind
v 168 subkind
v 169 subkind
v 170 subkind
v 171 subkind
v 172 subkind
v 173 subkind
v 174 subkind
v 175 subkind
v 176 subkind
v 177 subkind
v 178 subkind
v 179 kind
v 180 Generalization
v 181 Generalization
v 182 Generalization
v 183 Generalization
v 184 Generalization
v 185 Generalization
v 186 Generalization
v 187 Generalization
v 188 Generalization
v 189 Generalization
v 190 Generalization
v 191 Generalization
v 192 Generalization
v 193 Generalization
v 194 Generalization
v 195 Generalization
v 196 Generalization
v 197 Generalization
v 198 Generalization
v 199 Generalization
v 200 Generalization
v 201 Generalization
v 202 Generalization
v 203 Generalization
v 204 Generalization
v 205 Generalization
v 206 Generalization
v 207 Generalization
v 208 Generalization
v 209 Generalization
v 210 Generalization
v 211 Generalization
v 212 Generalization
v 213 Generalization
v 214 Generalization
v 215 Generalization
v 216 Generalization
v 217 Generalization
v 218 Generalization
v 219 Generalization
v 220 Generalization
v 221 Generalization
v 222 Generalization
v 223 Generalization
v 224 Generalization
v 225 Generalization
v 226 Generalization
v 227 Generalization
v 228 Generalization
v 229 Generalization
v 230 Generalization
v 231 Generalization
v 232 Generalization
v 233 Generalization
v 234 Generalization
v 235 Generalization
v 236 Generalization
v 237 Generalization
v 238 Generalization
v 239 Generalization
v 240 Generalization
v 241 Generalization
v 242 Generalization
v 243 Generalization
v 244 Generalization
v 245 Generalization
v 246 Generalization
v 247 Generalization
v 248 Generalization
v 249 Generalization
v 250 Generalization
v 251 Generalization
v 252 Generalization
v 253 Generalization
v 254 Generalization
v 255 Generalization
v 256 Generalization
v 257 Generalization
v 258 Generalization
v 259 Generalization
v 260 Generalization
v 261 Generalization
v 262 Generalization
v 263 Generalization
v 264 Generalization
v 265 Generalization
v 266 Generalization
v 267 Generalization
v 268 Generalization
v 269 Generalization
v 270 Generalization
v 271 Generalization
v 272 Generalization
v 273 Generalization
v 274 Generalization
v 275 Generalization
v 276 Generalization
v 277 Generalization
v 278 Generalization
v 279 Generalization
v 280 Generalization
v 281 Generalization
v 282 Generalization
v 283 Generalization
v 284 Generalization
v 285 Generalization
v 286 Generalization
v 287 Generalization
v 288 Generalization
v 289 Generalization
v 290 Generalization
v 291 Generalization
v 292 Generalization
v 293 Generalization
v 294 Generalization
v 295 Generalization
v 296 Generalization
v 297 Generalization
v 298 Generalization
v 299 Generalization
v 300 Generalization
v 301 Generalization
v 302 Generalization
v 303 Generalization
v 304 Generalization
v 305 Generalization
v 306 Generalization
v 307 Generalization
v 308 Generalization
v 309 Generalization
v 310 Generalization
v 311 Generalization
v 312 Generalization
v 313 Generalization
v 314 Generalization
v 315 Generalization
v 316 Generalization
v 317 Generalization
v 318 Generalization
v 319 Generalization
v 320 Generalization
v 321 Generalization
v 322 Generalization
v 323 Generalization
v 324 Generalization
v 325 Generalization
v 326 Generalization
v 327 Generalization
v 328 Generalization
v 329 Generalization
v 330 componentOf
v 331 componentOf
v 332 componentOf
v 333 causal
v 334 causal
v 335 causal
v 336 causal
v 337 componentOf
v 338 componentOf
v 339 componentOf
v 340 componentOf
v 341 componentOf
v 342 componentOf
v 343 componentOf
v 344 componentOf
v 345 componentOf
v 346 componentOf
v 347 componentOf
v 348 componentOf
v 349 componentOf
v 350 componentOf
v 351 componentOf
v 352 componentOf
v 353 componentOf
v 354 componentOf
v 355 componentOf
v 356 componentOf
v 357 componentOf
v 358 componentOf
v 359 componentOf
v 360 componentOf
v 361 componentOf
v 362 componentOf
v 363 componentOf
v 364 componentOf
v 365 componentOf
v 366 causal
v 367 causal
v 368 causal
v 369 causal
v 370 causal
v 371 causal
v 372 causal
v 373 causal
v 374 causal
v 375 causal
v 376 causal
v 377 causal
v 378 causal
v 379 causal
v 380 causal
v 381 causal
v 382 causal
v 383 causal
v 384 causal
v 385 causal
v 386 causal
v 387 causal
v 388 causal
v 389 causal
v 390 causal
v 391 causal
v 392 causal
v 393 causal
v 394 causal
v 395 causal
v 396 relation
v 397 causal
v 398 causal
v 399 causal
e 180 17 general
e 180 13 specific
e 181 13 general
e 181 14 specific
e 182 14 general
e 182 16 specific
e 183 14 general
e 183 15 specific
e 184 13 general
e 184 7 specific
e 185 7 general
e 185 8 specific
e 186 7 general
e 186 6 specific
e 187 6 general
e 187 5 specific
e 188 10 general
e 188 9 specific
e 189 10 general
e 189 11 specific
e 190 10 general
e 190 12 specific
e 191 17 general
e 191 21 specific
e 192 21 general
e 192 25 specific
e 193 25 general
e 193 24 specific
e 194 24 general
e 194 23 specific
e 195 23 general
e 195 22 specific
e 196 21 general
e 196 29 specific
e 197 21 general
e 197 20 specific
e 198 20 general
e 198 19 specific
e 199 20 general
e 199 18 specific
e 200 21 general
e 200 26 specific
e 201 21 general
e 201 30 specific
e 202 21 general
e 202 28 specific
e 203 28 general
e 203 27 specific
e 204 21 general
e 204 31 specific
e 205 21 general
e 205 32 specific
e 206 21 general
e 206 33 specific
e 207 21 general
e 207 34 specific
e 208 21 general
e 208 35 specific
e 209 21 general
e 209 36 specific
e 210 21 general
e 210 37 specific
e 211 21 general
e 211 39 specific
e 212 39 general
e 212 38 specific
e 213 39 general
e 213 40 specific
e 214 39 general
e 214 41 specific
e 215 39 general
e 215 42 specific
e 216 21 general
e 216 50 specific
e 217 50 general
e 217 51 specific
e 218 50 general
e 218 54 specific
e 219 21 general
e 219 52 specific
e 220 21 general
e 220 49 specific
e 221 52 general
e 221 53 specific
e 222 21 general
e 222 46 specific
e 223 46 general
e 223 48 specific
e 224 46 general
e 224 47 specific
e 225 44 general
e 225 45 specific
e 226 44 general
e 226 43 specific
e 227 21 general
e 227 44 specific
e 228 13 general
e 228 10 specific
e 229 17 general
e 229 56 specific
e 230 56 general
e 230 55 specific
e 231 56 general
e 231 62 specific
e 232 58 general
e 232 56 specific
e 233 57 general
e 233 56 specific
e 234 59 general
e 234 56 specific
e 235 60 general
e 235 56 specific
e 236 56 general
e 236 61 specific
e 237 63 general
e 237 64 specific
e 238 63 general
e 238 66 specific
e 239 63 general
e 239 65 specific
e 240 67 general
e 240 63 specific
e 241 67 general
e 241 68 specific
e 242 71 general
e 242 77 specific
e 243 72 general
e 243 76 specific
e 244 72 general
e 244 75 specific
e 245 68 general
e 245 69 specific
e 246 68 general
e 246 70 specific
e 247 68 general
e 247 71 specific
e 248 68 general
e 248 72 specific
e 249 68 general
e 249 73 specific
e 250 68 general
e 250 74 specific
e 251 101 general
e 251 111 specific
e 252 101 general
e 252 112 specific
e 253 101 general
e 253 114 specific
e 254 101 general
e 254 113 specific
e 255 101 general
e 255 115 specific
e 256 101 general
e 256 102 specific
e 257 102 general
e 257 103 specific
e 258 102 general
e 258 105 specific
e 259 105 general
e 259 104 specific
e 260 99 general
e 260 101 specific
e 261 99 general
e 261 100 specific
e 262 99 general
e 262 98 specific
e 263 98 general
e 263 108 specific
e 264 98 general
e 264 109 specific
e 265 98 general
e 265 110 specific
e 266 98 general
e 266 107 specific
e 267 98 general
e 267 97 specific
e 268 78 general
e 268 82 specific
e 269 78 general
e 269 83 specific
e 270 78 general
e 270 84 specific
e 271 78 general
e 271 86 specific
e 272 78 general
e 272 85 specific
e 273 85 general
e 273 87 specific
e 274 78 general
e 274 81 specific
e 275 78 general
e 275 80 specific
e 276 79 general
e 276 78 specific
e 277 79 general
e 277 89 specific
e 278 92 general
e 278 91 specific
e 279 92 general
e 279 93 specific
e 280 92 general
e 280 94 specific
e 281 92 general
e 281 95 specific
e 282 94 general
e 282 96 specific
e 283 116 general
e 283 117 specific
e 284 116 general
e 284 119 specific
e 285 116 general
e 285 121 specific
e 286 116 general
e 286 123 specific
e 287 116 general
e 287 118 specific
e 288 116 general
e 288 120 specific
e 289 116 general
e 289 122 specific
e 290 124 general
e 290 125 specific
e 291 124 general
e 291 127 specific
e 292 124 general
e 292 126 specific
e 293 124 general
e 293 129 specific
e 294 124 general
e 294 131 specific
e 295 124 general
e 295 128 specific
e 296 124 general
e 296 130 specific
e 297 124 general
e 297 132 specific
e 298 133 general
e 298 134 specific
e 299 133 general
e 299 135 specific
e 300 133 general
e 300 136 specific
e 301 133 general
e 301 137 specific
e 302 133 general
e 302 138 specific
e 303 133 general
e 303 139 specific
e 304 133 general
e 304 140 specific
e 305 141 general
e 305 142 specific
e 306 141 general
e 306 143 specific
e 307 141 general
e 307 144 specific
e 308 141 general
e 308 146 specific
e 309 141 general
e 309 145 specific
e 310 141 general
e 310 159 specific
e 311 141 general
e 311 147 specific
e 312 141 general
e 312 160 specific
e 313 141 general
e 313 161 specific
e 314 141 general
e 314 163 specific
e 315 141 general
e 315 162 specific
e 316 166 general
e 316 164 specific
e 317 166 general
e 317 165 specific
e 318 166 general
e 318 168 specific
e 319 166 general
e 319 170 specific
e 320 166 general
e 320 171 specific
e 321 166 general
e 321 173 specific
e 322 166 general
e 322 174 specific
e 323 166 general
e 323 177 specific
e 324 166 general
e 324 178 specific
e 325 166 general
e 325 176 specific
e 326 166 general
e 326 172 specific
e 327 166 general
e 327 175 specific
e 328 166 general
e 328 167 specific
e 329 166 general
e 329 169 specific
e 330 2 source
e 330 1 target
e 331 3 source
e 331 1 target
e 332 4 source
e 332 1 target
e 333 2 source
e 333 3 target
e 334 3 source
e 334 2 target
e 335 3 source
e 335 4 target
e 336 4 source
e 336 3 target
e 337 8 source
e 337 6 target
e 338 64 source
e 338 56 target
e 339 69 source
e 339 62 target
e 340 69 source
e 340 61 target
e 341 69 source
e 341 58 target
e 342 63 source
e 342 59 target
e 343 63 source
e 343 54 target
e 344 74 source
e 344 52 target
e 345 75 source
e 345 73 target
e 346 75 source
e 346 49 target
e 347 75 source
e 347 69 target
e 348 71 source
e 348 43 target
e 349 70 source
e 349 29 target
e 350 76 source
e 350 47 target
e 351 76 source
e 351 45 target
e 352 69 source
e 352 23 target
e 353 70 source
e 353 60 target
e 354 84 source
e 354 97 target
e 355 84 source
e 355 83 target
e 356 83 source
e 356 82 target
e 357 94 source
e 357 90 target
e 358 86 source
e 358 95 target
e 359 96 source
e 359 87 target
e 360 88 source
e 360 87 target
e 361 179 source
e 361 116 target
e 362 179 source
e 362 124 target
e 363 179 source
e 363 133 target
e 364 179 source
e 364 141 target
e 365 179 source
e 365 166 target
e 366 158 source
e 366 151 target
e 367 151 source
e 367 156 target
e 368 154 source
e 368 152 target
e 369 152 source
e 369 154 target
e 370 153 source
e 370 154 target
e 371 155 source
e 371 154 target
e 372 155 source
e 372 158 target
e 373 148 source
e 373 154 target
e 374 149 source
e 374 150 target
e 375 149 source
e 375 151 target
e 376 124 source
e 376 148 target
e 377 124 source
e 377 149 target
e 378 124 source
e 378 151 target
e 379 133 source
e 379 149 target
e 380 133 source
e 380 150 target
e 381 133 source
e 381 152 target
e 382 133 source
e 382 153 target
e 383 133 source
e 383 154 target
e 384 141 source
e 384 150 target
e 385 141 source
e 385 149 target
e 386 150 source
e 386 164 target
e 387 164 source
e 387 156 target
e 388 164 source
e 388 157 target
e 389 165 source
e 389 149 target
e 390 165 source
e 390 151 target
e 391 165 source
e 391 152 target
e 392 165 source
e 392 153 target
e 393 165 source
e 393 154 target
e 394 165 source
e 394 155 target
e 395 165 source
e 395 157 target
e 396 178 source
e 396 158 target
e 397 178 source
e 397 152 target
e 398 178 source
e 398 150 target
e 399 178 source
e 399 149 target
t # guarino2018rea
v 1 category
v 2 roleMixin
v 3 roleMixin
v 4 roleMixin
v 5 relator
v 6 mode
v 7 mode
v 8 event
v 9 event
v 10 subkind
v 11 subkind
v 12 Generalization
v 13 Generalization
v 14 Generalization
v 15 Generalization
v 16 Generalization
v 17 relation
v 18 relation
v 19 relation
v 20 relation
v 21 relation
v 22 characterization
v 23 characterization
v 24 mediation
v 25 mediation
v 26 relation
v 27 relation
v 28 relation
e 12 9 general
e 12 11 specific
e 13 9 general
e 13 10 specific
e 14 1 general
e 14 2 specific
e 15 2 general
e 15 3 specific
e 16 2 general
e 16 4 specific
e 17 8 source
e 17 10 target
e 18 8 source
e 18 11 target
e 19 6 source
e 19 7 target
e 20 10 source
e 20 6 target
e 21 11 source
e 21 7 target
e 22 6 source
e 22 3 target
e 23 7 source
e 23 4 target
e 24 5 source
e 24 3 target
e 25 5 source
e 25 4 target
e 26 6 source
e 26 5 target
e 27 7 source
e 27 5 target
e 28 10 source
e 28 11 target
t # brazilian-governmental-organizational-structures
v 1 category
v 2 kind
v 3 category
v 4 subkind
v 5 category
v 6 kind
v 7 kind
v 8 category
v 9 kind
v 10 kind
v 11 phase
v 12 subkind
v 13 subkind
v 14 phase
v 15 phase
v 16 Generalization
v 17 Generalization
v 18 Generalization
v 19 Generalization
v 20 Generalization
v 21 Generalization
v 22 Generalization
v 23 Generalization
v 24 Generalization
v 25 Generalization
v 26 Generalization
v 27 Generalization
v 28 Generalization
v 29 Generalization
v 30 Generalization
v 31 componentOf
v 32 Formal
v 33 componentOf
v 34 Formal
v 35 Formal
v 36 Formal
v 37 Formal
e 16 10 general
e 16 12 specific
e 17 10 general
e 17 13 specific
e 18 11 general
e 18 14 specific
e 19 11 general
e 19 15 specific
e 20 8 general
e 20 10 specific
e 21 8 general
e 21 11 specific
e 22 3 general
e 22 8 specific
e 23 3 general
e 23 9 specific
e 24 1 general
e 24 2 specific
e 25 1 general
e 25 3 specific
e 26 1 general
e 26 4 specific
e 27 5 general
e 27 3 specific
e 28 5 general
e 28 7 specific
e 29 6 general
e 29 4 specific
e 30 7 general
e 30 11 specific
e 31 6 source
e 31 5 target
e 32 4 target
e 33 4 source
e 33 3 target
e 34 2 source
e 34 3 target
e 35 2 source
e 35 9 target
e 36 9 target
e 37 8 source
e 37 9 target
t # martinez2013human-genome
v 1 collective
v 2 collective
v 3 collective
v 4 kind
v 5 role
v 6 role
v 7 role
v 8 collective
v 9 relator
v 10 relator
v 11 Generalization
v 12 Generalization
v 13 Generalization
v 14 derivation
v 15 subCollectionOf
v 16 subCollectionOf
v 17 memberOf
v 18 Formal
v 19 mediation
v 20 mediation
v 21 mediation
v 22 mediation
v 23 memberOf
v 24 material
v 25 formal
v 26 formal
v 27 material
v 28 derivation
e 11 4 general
e 11 5 specific
e 12 3 general
e 12 6 specific
e 13 3 general
e 13 7 specific
e 14 24 source
e 14 10 target
e 24 6 source
e 24 7 target
e 15 2 source
e 15 1 target
e 16 3 source
e 16 2 target
e 17 4 source
e 17 3 target
e 18 4 target
e 19 9 source
e 19 6 target
e 20 9 source
e 20 8 target
e 21 10 source
e 21 6 target
e 22 10 source
e 22 7 target
e 23 5 source
e 23 7 target
e 25 10 source
e 25 5 target
e 26 6 source
e 26 7 target
e 27 8 source
e 27 6 target
e 28 9 source
e 28 27 target
t # health-organizations
v 1 collective
v 2 collective
v 3 kind
v 4 category
v 5 collective
v 6 collective
v 7 collective
v 8 collective
v 9 collective
v 10 kind
v 11 subkind
v 12 subkind
v 13 phase
v 14 phase
v 15 phase
v 16 phase
v 17 phase
v 18 role
v 19 role
v 20 relator
v 21 kind
v 22 kind
v 23 kind
v 24 kind
v 25 Generalization
v 26 Generalization
v 27 Generalization
v 28 Generalization
v 29 Generalization
v 30 Generalization
v 31 Generalization
v 32 Generalization
v 33 Generalization
v 34 Generalization
v 35 Generalization
v 36 Generalization
v 37 Generalization
v 38 Generalization
v 39 derivation
v 40 mediation
v 41 mediation
v 42 material
v 43 material
v 44 material
v 45 material
v 46 material
v 47 Formal
v 48 Formal
v 49 Formal
v 50 material
v 51 Formal
e 25 12 general
e 25 17 specific
e 26 10 general
e 26 13 specific
e 27 10 general
e 27 14 specific
e 28 10 general
e 28 15 specific
e 29 10 general
e 29 16 specific
e 30 10 general
e 30 12 specific
e 31 10 general
e 31 11 specific
e 32 10 general
e 32 18 specific
e 33 10 general
e 33 19 specific
e 34 4 general
e 34 9 specific
e 35 4 general
e 35 5 specific
e 36 4 general
e 36 7 specific
e 37 4 general
e 37 8 specific
e 38 4 general
e 38 6 specific
e 39 42 source
e 39 20 target
e 42 18 source
e 42 19 target
e 40 20 source
e 40 18 target
e 41 20 source
e 41 19 target
e 43 18 source
e 43 21 target
e 44 21 source
e 44 22 target
e 45 19 source
e 45 23 target
e 46 23 source
e 46 22 target
e 47 24 source
e 47 1 target
e 48 20 source
e 48 24 target
e 49 19 source
e 49 2 target
e 50 19 source
e 50 3 target
e 51 3 source
e 51 4 target
t # duarte2018reqon
v 1 None
v 2 None
v 3 None
v 4 None
v 5 None
v 6 None
v 7 None
v 8 None
v 9 None
v 10 None
v 11 None
v 12 None
v 13 None
v 14 None
v 15 None
v 16 None
v 17 None
v 18 None
v 19 None
v 20 None
v 21 None
v 22 None
v 23 None
v 24 None
v 25 None
v 26 None
v 27 None
v 28 None
v 29 None
v 30 None
v 31 None
v 32 None
v 33 None
v 34 None
v 35 None
v 36 None
v 37 None
v 38 None
v 39 None
v 40 None
v 41 None
v 42 None
v 43 None
v 44 None
v 45 None
v 46 None
v 47 None
v 48 None
v 49 None
v 50 None
v 51 None
v 52 None
v 53 None
v 54 None
v 55 None
v 56 None
v 57 None
v 58 Generalization
v 59 Generalization
v 60 Generalization
v 61 Generalization
v 62 Generalization
v 63 Generalization
v 64 Generalization
v 65 Generalization
v 66 Generalization
v 67 Generalization
v 68 Generalization
v 69 Generalization
v 70 Generalization
v 71 Generalization
v 72 Generalization
v 73 Generalization
v 74 Generalization
v 75 Generalization
v 76 Generalization
v 77 Generalization
v 78 Generalization
v 79 Generalization
v 80 Generalization
v 81 Generalization
v 82 Generalization
v 83 Generalization
v 84 Generalization
v 85 Generalization
v 86 Generalization
v 87 Generalization
v 88 Generalization
v 89 Generalization
v 90 Generalization
v 91 Generalization
v 92 Generalization
v 93 Generalization
v 94 Generalization
v 95 Generalization
v 96 Generalization
v 97 Generalization
v 98 Generalization
v 99 Generalization
v 100 Generalization
v 101 Generalization
v 102 Generalization
v 103 Generalization
v 104 Generalization
v 105 Generalization
v 106 Generalization
v 107 Generalization
v 108 Generalization
v 109 relation
v 110 relation
v 111 relation
v 112 relation
v 113 relation
v 114 relation
v 115 relation
v 116 relation
v 117 relation
v 118 relation
v 119 relation
v 120 relation
v 121 relation
v 122 relation
v 123 relation
v 124 relation
v 125 componentOf
v 126 relation
v 127 relation
v 128 relation
v 129 relation
v 130 relation
v 131 relation
v 132 relation
v 133 relation
v 134 relation
v 135 relation
v 136 relation
v 137 relation
v 138 relation
v 139 relation
v 140 relation
v 141 relation
v 142 relation
v 143 relation
v 144 relation
v 145 relation
v 146 relation
v 147 relation
v 148 relation
v 149 relation
e 58 20 general
e 58 23 specific
e 59 20 general
e 59 1 specific
e 60 23 general
e 60 3 specific
e 61 2 general
e 61 5 specific
e 62 1 general
e 62 4 specific
e 63 34 general
e 63 6 specific
e 64 11 general
e 64 12 specific
e 65 14 general
e 65 50 specific
e 66 17 general
e 66 18 specific
e 67 17 general
e 67 19 specific
e 68 34 general
e 68 24 specific
e 69 34 general
e 69 25 specific
e 70 20 general
e 70 21 specific
e 71 20 general
e 71 22 specific
e 72 20 general
e 72 23 specific
e 73 20 general
e 73 2 specific
e 74 14 general
e 74 32 specific
e 75 14 general
e 75 31 specific
